update,reward,throughput_mbps,completion_rate,deadline_miss_rate,retx_drop_rate,retx_overflow_drop,mean_sinr_db,direction_corr,jain,n_arrivals,n_active,mean_speed_kmh,mu_depth,first_ack_rate,attempts_per_acked,pinned_fraction,goodput_mbps,acks_m1,units_m1,first_ack_m1,acks_m2,units_m2,first_ack_m2,acks_m3,units_m3,first_ack_m3,acks_m4,units_m4,first_ack_m4
474,9154.467625971447,85.30883037338711,0.8241881298992161,0.1734122540393537,0.00031994880819068947,0,8.235330884066117,0.8544965582860239,0.7011061951636549,6251,29,26.868560439271114,3.9990416574335033,0.403025176634491,1.6081039441248972,0.37178044511127784,81.562452,0,0,nan,6,8,0.75,0,0,nan,8094,20090,0.4028870084619214
475,10079.826818746238,93.42612137893043,0.8264947245017585,0.17101406799531066,0.00029308323563892143,0,9.998853265336162,0.8447492282132228,0.7089973572019885,6824,32,21.04640216749677,3.9917026901027812,0.39405334937825914,1.61413351176077,0.3749529898458067,89.423932,0,0,nan,0,0,nan,83,196,0.42346938775510207,7776,19748,0.3937613935588414
476,9704.002631816633,91.24065767605113,0.8200625093019794,0.1777050156273255,0.0001488316713796696,0,8.515579974813523,0.8590165506879309,0.6920418477434552,6719,31,20.258734445626395,3.9998668556602386,0.4258860387703153,1.5814633654379506,0.3616050501578174,87.454346,0,0,nan,0,0,nan,0,3,0.0,8700,20425,0.4259485924112607
477,7090.189417378005,66.93174326042522,0.8173405753369544,0.180044256688795,0.0,0,4.79690121034441,0.8449901073352475,0.6716685329799874,4971,23,23.60193359007674,3.998630383377354,0.40248244486203144,1.599571297335919,0.36776614037830235,64.87666,0,0,nan,3,6,0.5,9,16,0.5625,8127,20200,0.40232673267326735
478,10141.100024508603,87.6259333471008,0.8735876862616669,0.12362862289176355,0.0003274930407728836,0,9.420494276226048,0.8688023685765527,0.7670186611429772,6107,26,24.349805725742883,3.999893770001984,0.4278689322751838,1.5709425655393237,0.3581361917559924,85.08944,0,0,nan,0,0,nan,1,2,0.5,8787,20537,0.4278619077762088
479,7613.162341911156,75.43593593996118,0.7911072362685266,0.2064516129032258,0.0,0,8.888962206978244,0.8532688743076878,0.6397752403780111,5735,27,24.742348289931876,3.999925742815133,0.41582120276429935,1.5888741586783601,0.3623863245726429,72.24392,0,0,nan,0,0,nan,1,1,1.0,8483,20402,0.4157925693559455
480,7641.199311313155,70.61429397164056,0.8321596244131455,0.16588419405320814,0.00019561815336463224,0,9.658759177738377,0.8645938267989248,0.6848568203956683,5112,23,22.179475632717782,3.9998231422635357,0.43286236063052674,1.5563022700119475,0.349648382559775,67.734144,1,1,1.0,0,0,nan,0,6,0.0,9006,20801,0.43295995384837266
481,10347.99614432158,94.54466244144075,0.8350831146106736,0.1625838436862059,0.00014581510644502772,0,10.69641843159314,0.8452018917175895,0.7119208841490711,6858,31,23.75957262361682,4.0,0.41478358903975293,1.584250934437822,0.36246875,90.229622,0,0,nan,0,0,nan,0,0,nan,8462,20401,0.41478358903975293
482,7223.435695764865,74.2482290083378,0.7715944008193922,0.22567429156708774,0.0001707067258449983,0,10.230832259977628,0.8706888108389422,0.5826103654972081,5858,28,21.957173140772355,3.996909993144493,0.4359393008067614,1.5553723138430784,0.34843554443053815,71.515292,0,0,nan,0,0,nan,42,85,0.49411764705882355,9036,20739,0.4357008534644872
483,9745.292624257141,88.05636785867395,0.8417651694247439,0.15587076438140268,0.00047281323877068556,0,10.147787361128096,0.8412978097077617,0.7199553177720721,6345,29,26.56209857782234,3.999733018844243,0.3930111300511381,1.6192840885578317,0.3766485405337834,84.386206,0,0,nan,0,0,nan,1,5,0.2,7838,19941,0.39305952560052154
