config,sched,seed,n_active,reward,throughput_mbps,goodput_mbps,completion_rate,deadline_miss_rate,mu_depth
STORM2,SU+PF,30031,21,-11572.1,48.43,37.51,0.2149,0.7778,1.0
STORM2,SU+Random,30031,21,-14568.5,37.87,25.12,0.1482,0.8445,1.0
STORM2,SUS+PF,30032,31,-18573.9,71.9,46.64,0.1823,0.8081,4.0
STORM2,SUS+Random,30032,31,-16304.7,79.29,56.57,0.2176,0.7745,4.0
STORM2,SU+PF,30032,31,-20746.4,55.89,41.87,0.1645,0.829,1.0
STORM2,SU+Random,30032,31,-23489.1,47.65,30.4,0.1232,0.8705,1.0
STORM2,SUS+PF,30033,23,-4001.6,91.58,72.33,0.3701,0.6208,4.0
STORM2,SUS+Random,30033,23,-4852.4,88.47,69.4,0.3554,0.6369,4.0
STORM2,SU+PF,30033,23,-10525.9,61.23,49.29,0.2545,0.7387,1.0
STORM2,SU+Random,30033,23,-13244.9,53.96,37.47,0.1981,0.7953,1.0
STORM2,SUS+PF,30034,30,-14941.1,81.22,59.15,0.2317,0.759,4.0
STORM2,SUS+Random,30034,30,-12060.9,92.13,70.91,0.2744,0.7163,4.0
STORM2,SU+PF,30034,30,-19451.4,57.08,44.44,0.1763,0.8158,1.0
STORM2,SU+Random,30034,30,-22005.3,50.72,32.89,0.135,0.8574,1.0
STORM2,SUS+PF,30035,21,-576.7,91.5,81.01,0.4479,0.5464,3.998
STORM2,SUS+Random,30035,21,-135.7,92.67,82.91,0.4581,0.5364,4.0
STORM2,SU+PF,30035,21,-7557.9,61.86,53.22,0.2998,0.6944,1.0
STORM2,SU+Random,30035,21,-10255.5,53.95,41.31,0.2384,0.756,1.0
STORM2,SUS+PF,30036,20,-2720.7,77.42,67.56,0.3991,0.5931,3.997
STORM2,SUS+Random,30036,20,-2884.4,76.69,66.89,0.3948,0.5974,3.999
STORM2,SU+PF,30036,20,-7520.6,56.78,49.18,0.2917,0.7012,1.0
STORM2,SU+Random,30036,20,-10169.9,48.41,37.55,0.228,0.7639,1.0
