config,sched,seed,reward,throughput_mbps,goodput_mbps,completion_rate,deadline_miss_rate,mu_depth
CSI04,SUS+CQI@0.60,30007,4166.6,57.46,55.21,0.6691,0.3284,3.971
CSI04,SUS+CQI@0.65,30000,3138.4,52.99,48.6,0.619,0.3786,3.989
CSI04,SUS+CQI@0.65,30001,3260.4,82.02,76.56,0.561,0.435,3.999
CSI04,SUS+CQI@0.65,30002,2734.4,113.47,107.66,0.5232,0.4738,4.0
CSI04,SUS+CQI@0.65,30003,1951.3,39.47,35.83,0.587,0.4107,3.986
CSI04,SUS+CQI@0.65,30004,4810.1,76.02,71.84,0.6311,0.3663,3.991
CSI04,SUS+CQI@0.65,30005,4758.5,72.23,67.88,0.6404,0.3548,3.989
CSI04,SUS+CQI@0.65,30006,5308.0,102.27,97.26,0.5952,0.4006,3.962
CSI04,SUS+CQI@0.65,30007,4171.9,57.44,55.25,0.6696,0.328,3.957
CSI04,SUS+CQI@0.70,30000,3120.9,52.94,48.54,0.6182,0.379,3.982
CSI04,SUS+CQI@0.70,30001,3240.1,82.04,76.44,0.5602,0.436,3.992
CSI04,SUS+CQI@0.70,30002,2863.5,113.93,108.18,0.5257,0.4712,4.0
CSI04,SUS+CQI@0.70,30003,1932.2,39.46,35.7,0.5852,0.4123,3.975
CSI04,SUS+CQI@0.70,30004,4784.1,76.0,71.61,0.6298,0.3675,3.987
CSI04,SUS+CQI@0.70,30005,4737.9,72.18,67.77,0.6394,0.3555,3.988
CSI04,SUS+CQI@0.70,30006,5343.9,102.72,97.22,0.5952,0.4006,3.981
CSI04,SUS+CQI@0.70,30007,4168.8,57.43,55.23,0.6694,0.328,3.926
CSI04,SUS+CQI@0.75,30000,3115.9,52.84,48.56,0.6184,0.3788,3.961
CSI04,SUS+CQI@0.75,30001,3156.4,81.84,76.06,0.5573,0.4388,3.978
CSI04,SUS+CQI@0.75,30002,2880.6,114.19,108.11,0.5255,0.4715,4.0
CSI04,SUS+CQI@0.75,30003,1883.2,39.37,35.43,0.5815,0.4161,3.952
CSI04,SUS+CQI@0.75,30004,4662.8,75.72,71.02,0.6249,0.372,3.977
CSI04,SUS+CQI@0.75,30005,4714.6,72.16,67.64,0.6383,0.3567,3.984
CSI04,SUS+CQI@0.75,30006,5397.4,103.02,97.35,0.5963,0.3995,3.99
CSI04,SUS+CQI@0.75,30007,4155.0,57.41,55.17,0.6685,0.3292,3.876
CSI04,SUS+CQI@0.80,30000,3040.3,52.69,48.25,0.6139,0.3828,3.909
CSI04,SUS+CQI@0.80,30001,3103.6,81.6,75.86,0.5559,0.4403,3.933
CSI04,SUS+CQI@0.80,30002,2833.3,114.02,107.93,0.5246,0.4723,3.999
CSI04,SUS+CQI@0.80,30003,1840.8,39.3,35.25,0.5781,0.4195,3.888
CSI04,SUS+CQI@0.80,30004,4569.6,75.38,70.59,0.6214,0.3754,3.942
CSI04,SUS+CQI@0.80,30005,4636.0,71.96,67.27,0.6347,0.3599,3.972
CSI04,SUS+CQI@0.80,30006,5365.8,103.12,97.07,0.5947,0.401,3.986
CSI04,SUS+CQI@0.80,30007,4183.9,57.45,55.31,0.6702,0.3274,3.784
CSI04,SU+CQI,30000,3503.8,52.9,50.66,0.6441,0.3532,1.0
CSI04,SU+CQI,30001,1668.6,73.6,71.62,0.5232,0.4733,1.0
CSI04,SU+CQI,30002,-5214.9,80.75,78.61,0.3802,0.6161,1.0
CSI04,SU+CQI,30003,2249.0,39.55,37.56,0.6129,0.385,1.0
CSI04,SU+CQI,30004,2217.1,64.51,62.54,0.5484,0.4488,1.0
CSI04,SU+CQI,30005,3570.5,66.03,64.13,0.6037,0.392,1.0
CSI04,SU+CQI,30006,-561.4,77.76,75.38,0.4619,0.5335,1.0
CSI04,SU+CQI,30007,4118.6,56.67,55.12,0.6685,0.3292,1.0
CSI04,PPO-HL,30000,3897.5,53.53,51.92,0.6675,0.3301,2.399
CSI04,PPO-HL,30001,4086.4,82.62,80.49,0.5922,0.4034,2.713
CSI04,PPO-HL,30002,3367.6,113.43,110.01,0.5379,0.4588,3.765
CSI04,PPO-HL,30003,2514.7,39.82,38.31,0.634,0.3637,2.108
CSI04,PPO-HL,30004,5324.0,76.47,74.39,0.6537,0.3436,3.071
CSI04,PPO-HL,30005,5314.4,72.49,70.76,0.6679,0.3269,2.924
CSI04,PPO-HL,30006,5676.3,101.36,98.87,0.6082,0.3871,3.496
CSI04,PPO-HL,30007,4481.4,57.8,56.56,0.6881,0.3096,2.518
STORM,SUS+CQI@0.60,30000,3791.8,114.9,110.86,0.5467,0.4498,4.0
STORM,SUS+CQI@0.60,30001,2329.9,92.34,86.54,0.5246,0.4713,4.0
STORM,SUS+CQI@0.60,30002,-3529.4,126.05,118.29,0.4229,0.573,4.0
STORM,SUS+CQI@0.60,30003,-2671.4,82.8,76.54,0.4149,0.5812,4.0
STORM,SUS+CQI@0.60,30004,2300.7,88.22,82.67,0.5223,0.4734,4.0
STORM,SUS+CQI@0.60,30005,1655.8,111.44,104.83,0.4974,0.4982,3.978
STORM,SUS+CQI@0.60,30006,-326.1,121.25,113.41,0.4642,0.5312,4.0
STORM,SUS+CQI@0.60,30007,5408.5,103.52,99.77,0.5991,0.398,3.996
STORM,SUS+CQI@0.65,30000,3822.7,115.09,111.04,0.5474,0.449,4.0
STORM,SUS+CQI@0.65,30001,2374.0,92.54,86.67,0.5253,0.4705,3.999
STORM,SUS+CQI@0.65,30002,-3366.2,126.96,118.63,0.4246,0.5712,4.0
STORM,SUS+CQI@0.65,30003,-2605.4,83.19,76.76,0.416,0.5801,4.0
STORM,SUS+CQI@0.65,30004,2375.9,88.61,82.83,0.5241,0.4717,4.0
STORM,SUS+CQI@0.65,30005,1784.2,111.81,105.25,0.4998,0.4957,3.978
STORM,SUS+CQI@0.65,30006,-169.8,122.08,113.95,0.4662,0.5292,4.0
STORM,SUS+CQI@0.65,30007,5421.4,103.61,99.8,0.5993,0.3978,3.994
STORM,SUS+CQI@0.70,30000,3779.4,114.96,110.78,0.5463,0.4501,4.0
STORM,SUS+CQI@0.70,30001,2375.4,92.66,86.65,0.5251,0.4707,3.994
STORM,SUS+CQI@0.70,30002,-3376.1,127.49,118.33,0.4236,0.5722,4.0
STORM,SUS+CQI@0.70,30003,-2599.5,83.16,76.74,0.4161,0.58,4.0
STORM,SUS+CQI@0.70,30004,2402.3,88.78,82.96,0.5244,0.4715,3.998
STORM,SUS+CQI@0.70,30005,1786.1,112.08,105.25,0.4996,0.4961,3.98
STORM,SUS+CQI@0.70,30006,63.3,122.67,114.82,0.4704,0.5251,4.0
STORM,SUS+CQI@0.70,30007,5373.3,103.48,99.64,0.5977,0.3993,3.987
