config,sched,seed,n_active,reward,throughput_mbps,goodput_mbps,completion_rate,deadline_miss_rate,mu_depth
CSI02,SUS+PF,30025,22,5812.7,91.7,81.43,0.6251,0.3645,3.999
CSI02,SUS+Random,30025,22,3693.1,84.18,72.32,0.5572,0.4329,4.0
CSI02,SU+PF,30025,22,446.7,68.43,60.22,0.4693,0.5247,1.0
CSI02,SU+Random,30025,22,-3286.1,56.62,43.86,0.3501,0.6428,1.0
CSI02,SUS+PF,30026,27,2362.9,62.3,53.15,0.5439,0.4415,3.998
CSI02,SUS+Random,30026,27,993.2,58.08,47.07,0.4835,0.5029,3.999
CSI02,SU+PF,30026,27,898.0,55.18,47.71,0.4913,0.503,1.0
CSI02,SU+Random,30026,27,-2476.9,44.11,32.87,0.3465,0.6443,1.0
CSI02,SUS+PF,30027,22,1506.9,78.62,69.61,0.4997,0.4927,3.998
CSI02,SUS+Random,30027,22,997.4,76.79,66.8,0.4813,0.5109,3.999
CSI02,SU+PF,30027,22,-2681.1,60.61,52.41,0.3848,0.6087,1.0
CSI02,SU+Random,30027,22,-5325.1,52.39,41.09,0.3045,0.6876,1.0
CSI02,SUS+PF,30028,16,6323.7,72.96,65.91,0.7155,0.2666,3.939
CSI02,SUS+Random,30028,16,5230.1,69.34,60.75,0.6628,0.3172,3.977
CSI02,SU+PF,30028,16,5014.9,66.39,61.38,0.668,0.326,1.0
CSI02,SU+Random,30028,16,1479.2,54.01,45.39,0.5052,0.4849,1.0
CSI02,SUS+PF,30029,18,1865.7,60.08,51.56,0.5253,0.4629,3.986
CSI02,SUS+Random,30029,18,697.4,56.04,46.59,0.476,0.5125,3.993
CSI02,SU+PF,30029,18,1168.9,55.74,49.3,0.5031,0.4917,1.0
CSI02,SU+Random,30029,18,-2158.5,44.35,34.54,0.3614,0.6309,1.0
CSI02,SUS+PF,30030,30,-5416.5,79.8,63.54,0.3407,0.6511,4.0
CSI02,SUS+Random,30030,30,-5374.0,79.8,63.91,0.3425,0.6501,4.0
CSI02,SU+PF,30030,30,-9424.9,60.48,48.99,0.2663,0.7273,1.0
CSI02,SU+Random,30030,30,-12686.2,50.43,35.28,0.196,0.7978,1.0
CSI02,SUS+PF,30031,21,-1045.9,54.0,44.79,0.4177,0.5718,3.996
CSI02,SUS+Random,30031,21,-2315.6,49.48,39.46,0.3697,0.6184,3.997
CSI02,SU+PF,30031,21,-2243.7,48.12,40.52,0.3792,0.6141,1.0
CSI02,SU+Random,30031,21,-5531.5,36.72,26.47,0.2537,0.7386,1.0
CSI02,SUS+PF,30032,31,-1130.6,73.68,58.8,0.417,0.5707,4.0
CSI02,SUS+Random,30032,31,-2396.0,68.57,53.4,0.3815,0.608,4.0
CSI02,SU+PF,30032,31,-4521.1,57.17,46.08,0.3326,0.6597,1.0
CSI02,SU+Random,30032,31,-7815.5,46.76,31.76,0.2366,0.756,1.0
CSI02,SUS+PF,30033,23,5454.5,59.35,53.98,0.7464,0.2394,3.933
CSI02,SUS+Random,30033,23,4410.5,56.41,48.92,0.682,0.3022,3.971
CSI02,SU+PF,30033,23,4254.1,54.1,49.32,0.6846,0.3084,1.0
CSI02,SU+Random,30033,23,1732.1,46.33,37.45,0.5313,0.4584,1.0
CSI02,SUS+PF,30034,30,-4450.5,84.15,67.48,0.3619,0.63,4.0
CSI02,SUS+Random,30034,30,-3693.3,87.13,70.64,0.3767,0.6163,4.0
CSI02,SU+PF,30034,30,-9807.9,59.46,48.01,0.2601,0.7334,1.0
CSI02,SU+Random,30034,30,-12337.8,52.35,36.13,0.2041,0.7887,1.0
CSI02,SUS+PF,30035,21,3443.6,49.85,45.67,0.6533,0.3372,3.891
CSI02,SUS+Random,30035,21,3105.6,48.66,44.27,0.6329,0.3576,3.927
CSI02,SU+PF,30035,21,3272.3,48.67,45.19,0.6458,0.3474,1.0
CSI02,SU+Random,30035,21,1440.5,42.79,36.66,0.5305,0.4634,1.0
CSI02,SUS+PF,30036,20,1965.7,36.73,33.58,0.6007,0.3843,3.736
CSI02,SUS+Random,30036,20,1845.3,36.25,33.07,0.592,0.3939,3.792
CSI02,SU+PF,30036,20,2127.4,36.99,34.36,0.6146,0.3786,1.0
CSI02,SU+Random,30036,20,1322.4,34.22,30.41,0.5495,0.4417,1.0
CSI02,SUS+PF,30037,18,1351.9,67.18,61.96,0.5098,0.4807,3.946
CSI02,SUS+Random,30037,18,1462.3,67.14,62.51,0.5141,0.4763,3.966
CSI02,SU+PF,30037,18,-1250.0,56.35,51.25,0.426,0.5661,1.0
CSI02,SU+Random,30037,18,-3176.7,49.43,42.7,0.3589,0.633,1.0
CSI02,SUS+PF,30038,29,-10789.9,67.63,47.78,0.2452,0.7463,4.0
CSI02,SUS+Random,30038,29,-9295.3,73.66,53.51,0.2731,0.7194,4.0
CSI02,SU+PF,30038,29,-13425.2,52.18,39.8,0.2047,0.7882,1.0
CSI02,SU+Random,30038,29,-15575.4,47.08,29.95,0.1582,0.8347,1.0
CSI02,SUS+PF,30039,20,1876.8,36.03,31.33,0.5904,0.3895,3.922
CSI02,SUS+Random,30039,20,1511.5,34.69,29.72,0.562,0.4193,3.946
