K,phase,sched,seed,reward,goodput_mbps,deadline_miss_rate,mu_depth
48,test,SU+CQI,30055,-2861.1,97.16,0.5665,1.0
48,test,SU+PF,30055,-10884.6,58.4,0.7239,1.0
48,test,SU+Random,30055,-15007.8,40.66,0.7997,1.0
48,test,PPO,30055,4463.0,123.29,0.4425,3.452
48,test,SUS+CQI@0.75,30056,2339.4,136.35,0.4892,4.0
48,test,SUS+PF,30056,-11795.3,73.03,0.7121,4.0
48,test,SUS+Random,30056,-11001.1,75.69,0.7032,4.0
48,test,SU+CQI,30056,-7659.3,99.11,0.6269,1.0
48,test,SU+PF,30056,-16455.8,57.96,0.7688,1.0
48,test,SU+Random,30056,-19795.8,42.81,0.8211,1.0
48,test,PPO,30056,2652.0,137.68,0.4798,3.522
48,test,SUS+CQI@0.75,30057,4597.4,119.07,0.4434,4.0
48,test,SUS+PF,30057,-5986.8,71.11,0.6556,4.0
48,test,SUS+Random,30057,-6964.6,66.97,0.675,4.0
48,test,SU+CQI,30057,-2866.6,92.32,0.5696,1.0
48,test,SU+PF,30057,-10226.8,56.58,0.7215,1.0
48,test,SU+Random,30057,-14491.3,38.7,0.8017,1.0
48,test,PPO,30057,4576.7,118.78,0.4375,3.58
48,test,SUS+CQI@0.75,30058,3365.4,120.99,0.4711,4.0
48,test,SUS+PF,30058,-7241.5,72.7,0.669,4.0
48,test,SUS+Random,30058,-8154.7,68.96,0.6868,4.0
48,test,SU+CQI,30058,-3699.0,95.98,0.5811,1.0
48,test,SU+PF,30058,-11706.3,57.52,0.7349,1.0
48,test,SU+Random,30058,-15644.3,40.52,0.8053,1.0
48,test,PPO,30058,3784.9,123.2,0.4561,3.392
48,test,SUS+CQI@0.75,30059,-627.4,153.19,0.5294,4.0
48,test,SUS+PF,30059,-19907.1,68.13,0.7768,4.0
48,test,SUS+Random,30059,-19657.6,68.64,0.7767,4.0
48,test,SU+CQI,30059,-14852.2,99.99,0.6908,1.0
48,test,SU+PF,30059,-23989.2,56.84,0.8125,1.0
48,test,SU+Random,30059,-28180.5,38.2,0.8662,1.0
48,test,PPO,30059,-222.7,155.1,0.5216,3.762
60,test,SUS+CQI@0.80,30040,-13481.8,160.38,0.6378,4.0
60,test,SUS+PF,30040,-36600.6,54.91,0.8598,4.0
60,test,SUS+Random,30040,-36647.9,55.12,0.8611,4.0
60,test,SU+CQI,30040,-30440.6,97.36,0.7775,1.0
60,test,SU+PF,30040,-39964.5,49.37,0.8749,1.0
60,test,SU+Random,30040,-44032.5,32.12,0.9127,1.0
60,test,PPO,30040,-14000.1,156.76,0.6417,3.997
60,test,SUS+CQI@0.80,30041,-4971.5,157.15,0.5744,3.999
60,test,SUS+PF,30041,-26565.0,60.21,0.8216,4.0
60,test,SUS+Random,30041,-25877.4,62.38,0.8159,4.0
60,test,SU+CQI,30041,-20474.3,99.74,0.7282,1.0
60,test,SU+PF,30041,-30267.9,51.43,0.8465,1.0
60,test,SU+Random,30041,-34162.0,34.39,0.8895,1.0
60,test,PPO,30041,-4830.7,156.65,0.5708,3.962
60,test,SUS+CQI@0.80,30042,-4962.1,158.31,0.5726,4.0
60,test,SUS+PF,30042,-25813.1,67.28,0.8053,4.0
60,test,SUS+Random,30042,-23111.2,77.26,0.7796,4.0
60,test,SU+CQI,30042,-20792.2,99.63,0.7299,1.0
60,test,SU+PF,30042,-29930.1,56.98,0.8355,1.0
60,test,SU+Random,30042,-32592.1,43.7,0.8666,1.0
60,test,PPO,30042,-4669.8,158.74,0.5677,3.989
60,test,SUS+CQI@0.80,30043,-8754.9,167.31,0.601,4.0
60,test,SUS+PF,30043,-31209.9,65.21,0.8292,4.0
60,test,SUS+Random,30043,-30841.9,66.45,0.8273,4.0
60,test,SU+CQI,30043,-26750.4,100.06,0.7585,1.0
60,test,SU+PF,30043,-36311.3,52.18,0.8615,1.0
60,test,SU+Random,30043,-39547.8,37.53,0.894,1.0
60,test,PPO,30043,-8262.2,168.08,0.5953,3.993
60,test,SUS+CQI@0.80,30044,-10004.6,170.18,0.6088,4.0
60,test,SUS+PF,30044,-36088.6,56.9,0.8562,4.0
60,test,SUS+Random,30044,-33545.8,66.22,0.8354,4.0
60,test,SU+CQI,30044,-28982.3,99.83,0.7677,1.0
60,test,SU+PF,30044,-38995.4,51.71,0.8691,1.0
60,test,SU+Random,30044,-42570.9,36.05,0.9025,1.0
60,test,PPO,30044,-10226.4,167.25,0.6112,4.0
60,test,SUS+CQI@0.80,30045,4826.8,92.37,0.4061,3.98
60,test,SUS+PF,30045,662.3,73.28,0.5187,3.998
60,test,SUS+Random,30045,372.4,71.3,0.5308,3.999
60,test,SU+CQI,30045,1639.9,80.94,0.4792,1.0
60,test,SU+PF,30045,-3644.7,55.82,0.6255,1.0
60,test,SU+Random,30045,-6335.7,43.55,0.6992,1.0
60,test,PPO,30045,5179.0,93.83,0.3897,2.885
60,test,SUS+CQI@0.80,30046,2625.0,112.91,0.4818,3.99
60,test,SUS+PF,30046,-8577.4,62.12,0.7005,4.0
60,test,SUS+Random,30046,-9891.3,55.7,0.7285,4.0
60,test,SU+CQI,30046,-5851.8,82.21,0.6221,1.0
60,test,SU+PF,30046,-12493.3,50.06,0.7571,1.0
60,test,SU+Random,30046,-16184.6,33.43,0.8279,1.0
60,test,PPO,30046,2266.2,110.08,0.48,3.836
60,test,SUS+CQI@0.80,30047,-12016.5,177.13,0.6193,4.0
60,test,SUS+PF,30047,-36863.4,66.07,0.8443,4.0
60,test,SUS+Random,30047,-35315.9,72.08,0.8329,4.0
60,test,SU+CQI,30047,-32437.0,101.04,0.7806,1.0
60,test,SU+PF,30047,-41378.4,55.56,0.8679,1.0
60,test,SU+Random,30047,-45162.6,38.86,0.9018,1.0
60,test,PPO,30047,-11593.6,177.6,0.6152,3.987
60,test,SUS+CQI@0.80,30048,-1285.1,157.76,0.5372,4.0
60,test,SUS+PF,30048,-22118.4,64.9,0.7945,4.0
60,test,SUS+Random,30048,-20956.2,69.74,0.7818,4.0
60,test,SU+CQI,30048,-16744.9,99.86,0.7041,1.0
60,test,SU+PF,30048,-26242.9,53.9,0.8273,1.0
60,test,SU+Random,30048,-29833.0,38.02,0.8709,1.0
60,test,PPO,30048,-720.6,159.96,0.5274,3.874
60,test,SUS+CQI@0.80,30049,2709.2,128.92,0.4817,4.0
60,test,SUS+PF,30049,-11011.4,68.0,0.7124,4.0
60,test,SUS+Random,30049,-7759.7,80.8,0.663,4.0
60,test,SU+CQI,30049,-5943.4,96.92,0.6101,1.0
60,test,SU+PF,30049,-15012.2,55.2,0.7652,1.0
60,test,SU+Random,30049,-17543.9,42.92,0.8097,1.0
60,test,PPO,30049,3186.4,130.86,0.4695,3.376
60,test,SUS+CQI@0.80,30050,-10952.6,173.38,0.6132,4.0
60,test,SUS+PF,30050,-37848.2,55.93,0.8622,4.0
60,test,SUS+Random,30050,-35275.8,64.92,0.8419,4.0
60,test,SU+CQI,30050,-30526.4,100.11,0.7742,1.0
60,test,SU+PF,30050,-40810.7,50.85,0.8746,1.0
60,test,SU+Random,30050,-43873.1,36.55,0.9037,1.0
60,test,PPO,30050,-11145.1,170.52,0.6153,3.997
60,test,SUS+CQI@0.80,30051,-9868.1,181.0,0.6027,4.0
60,test,SUS+PF,30051,-36616.8,63.05,0.8486,4.0
60,test,SUS+Random,30051,-34895.5,69.29,0.8345,4.0
60,test,SU+CQI,30051,-31238.4,100.14,0.777,1.0
60,test,SU+PF,30051,-40711.6,53.58,0.8704,1.0
60,test,SU+Random,30051,-44234.1,38.22,0.9013,1.0
60,test,PPO,30051,-10353.8,175.99,0.6093,3.972
60,test,SUS+CQI@0.80,30052,-9516.6,169.09,0.6047,4.0
60,test,SUS+PF,30052,-36012.7,53.83,0.8614,4.0
60,test,SUS+Random,30052,-34230.7,59.92,0.8467,4.0
60,test,SU+CQI,30052,-28569.0,97.85,0.7689,1.0
60,test,SU+PF,30052,-38678.3,49.51,0.8726,1.0
60,test,SU+Random,30052,-42743.9,32.24,0.9112,1.0
60,test,PPO,30052,-10294.5,162.81,0.614,4.0
60,test,SUS+CQI@0.80,30053,-425.6,140.53,0.5276,4.0
60,test,SUS+PF,30053,-17514.7,64.27,0.769,4.0
60,test,SUS+Random,30053,-15437.5,72.39,0.7428,4.0
60,test,SU+CQI,30053,-12496.6,96.25,0.675,1.0
60,test,SU+PF,30053,-21767.3,52.25,0.8104,1.0
60,test,SU+Random,30053,-24804.5,38.63,0.8533,1.0
60,test,PPO,30053,-360.2,140.0,0.5232,3.834
60,test,SUS+CQI@0.80,30054,-746.0,146.9,0.5321,4.0
60,test,SUS+PF,30054,-18418.1,67.81,0.7677,4.0
60,test,SUS+Random,30054,-16265.8,75.83,0.7434,4.0
60,test,SU+CQI,30054,-14073.6,97.31,0.6871,1.0
60,test,SU+PF,30054,-22750.7,55.99,0.8081,1.0
60,test,SU+Random,30054,-25973.1,40.57,0.8527,1.0
60,test,PPO,30054,-457.3,147.25,0.5241,3.892
60,test,SUS+CQI@0.80,30055,891.5,137.34,0.5104,4.0
60,test,SUS+PF,30055,-16088.1,61.85,0.7646,4.0
60,test,SUS+Random,30055,-14245.2,68.92,0.7399,4.0
60,test,SU+CQI,30055,-11042.6,92.54,0.6669,1.0
60,test,SU+PF,30055,-19815.0,51.04,0.803,1.0
60,test,SU+Random,30055,-23141.5,36.86,0.8519,1.0
60,test,PPO,30055,1159.0,138.48,0.5026,3.633
60,test,SUS+CQI@0.80,30056,-2324.9,149.88,0.5488,3.999
60,test,SUS+PF,30056,-23050.6,57.91,0.8095,4.0
60,test,SUS+Random,30056,-21324.0,64.93,0.7903,4.0
60,test,SU+CQI,30056,-16427.6,97.53,0.7042,1.0
60,test,SU+PF,30056,-26076.1,51.57,0.8311,1.0
60,test,SU+Random,30056,-29658.9,36.08,0.8756,1.0
60,test,PPO,30056,-2020.1,150.61,0.5425,3.85
60,test,SUS+CQI@0.80,30057,856.6,133.54,0.5116,4.0
60,test,SUS+PF,30057,-15582.6,59.29,0.7679,4.0
60,test,SUS+Random,30057,-13781.2,66.66,0.7417,4.0
60,test,SU+CQI,30057,-10467.9,90.91,0.6657,1.0
60,test,SU+PF,30057,-18739.1,50.74,0.7992,1.0
60,test,SU+Random,30057,-22059.1,35.73,0.8511,1.0
60,test,PPO,30057,1040.2,133.9,0.5048,3.667
60,test,SUS+CQI@0.80,30058,1462.6,140.71,0.5014,4.0
60,test,SUS+PF,30058,-16186.4,63.0,0.7624,4.0
60,test,SUS+Random,30058,-13410.3,73.55,0.7255,4.0
60,test,SU+CQI,30058,-10333.3,96.28,0.6561,1.0
60,test,SU+PF,30058,-19601.0,53.54,0.7973,1.0
60,test,SU+Random,30058,-22599.8,39.95,0.8406,1.0
60,test,PPO,30058,1776.5,142.16,0.494,3.606
60,test,SUS+CQI@0.80,30059,-7865.3,163.5,0.5953,4.0
60,test,SUS+PF,30059,-32255.6,57.38,0.8453,4.0
60,test,SUS+Random,30059,-29291.4,67.48,0.8197,4.0
60,test,SU+CQI,30059,-24747.8,100.3,0.7487,1.0
60,test,SU+PF,30059,-35287.7,52.3,0.8595,1.0
60,test,SU+Random,30059,-38196.7,37.7,0.892,1.0
60,test,PPO,30059,-7651.6,163.07,0.5927,3.999
