update,reward,throughput_mbps,completion_rate,deadline_miss_rate,retx_drop_rate,retx_overflow_drop,mean_sinr_db,direction_corr,jain,n_arrivals,n_active,mean_speed_kmh,mu_depth,mean_delay,p95_delay,mean_qlen,buffer_overflow_rate
220,7930.299058051322,64.79964282073423,0.9118791485465781,0.08583199816891737,0.00045777065690089265,0,23.15341708477478,0.8695961337755058,0.9433422659621526,4369,20,17.681960394135317,2.037081568455314,1.9754016064257027,5.0,5.958,0.0
221,4444.845094176919,58.61252948189656,0.6671075004723219,0.32892499527678065,0.0009446438692612885,0,17.436611362938855,0.8613862028159065,0.7728103924355457,5293,24,16.735806822932524,2.6018501571103774,2.4664401019541207,7.0,15.545,0.0
222,4219.960950478343,62.418324628773505,0.6391421816953732,0.3566362715298885,0.001182033096926714,0,12.12655362446942,0.8575621189941468,0.7002025224616399,5922,27,18.29817294322212,2.5605711650496374,2.492470277410832,6.0,18.524,0.0
223,5697.046093594175,54.43020809836292,0.7986144290492116,0.19827998088867654,0.0009555661729574773,0,20.34039290550547,0.8516781906152352,0.8575936804780352,4186,19,16.869508206578786,2.334574141205838,2.44630571343105,6.0,9.755,0.0
224,8007.763180357634,82.39805005239272,0.7492550655542313,0.24091179976162097,0.006108462455303933,0,12.772126738276711,0.8646075555063039,0.8425135239060546,6712,31,17.919828917840583,3.1655023187325493,2.8162656591767745,6.0,18.439,0.0
225,4983.648365628465,50.28827874451382,0.776963879767618,0.22152058600656732,0.00025258903763576663,0,16.262816067829565,0.8615639333206593,0.8162913563992134,3959,18,19.244369948886828,1.9904137001153674,2.1462938881664497,4.0,8.943,0.0
226,6918.370693847133,80.7453007348874,0.6982978723404255,0.2970212765957447,0.001702127659574468,0,9.621301500635163,0.8415254616103219,0.7915082462938916,7050,32,19.465406293755468,3.2613948110229787,2.9981718464351004,7.0,21.973,0.0
227,7487.073232788817,83.80876559171597,0.7169570760730982,0.2768097464230061,0.003966567502479105,0,14.746431565273706,0.8679855860638912,0.8202705929973247,7059,32,14.743546919808207,3.166472766629821,2.77138905354673,7.0,20.26,0.0
228,3493.742587996081,58.28855708322428,0.6142807140357018,0.38134406720336017,0.0010500525026251313,0,11.831579501934266,0.8669276186166436,0.685281316860778,5714,26,16.167670474200957,2.5128793150119466,2.447863247863248,6.0,18.384,0.0
229,6484.067130509552,75.29536616934465,0.706241416145277,0.28933312986418436,0.0013734167556844193,0,11.84187866672016,0.8685260822059155,0.7788963911413824,6553,30,17.173123758590382,2.809819336364674,2.6603284356093346,6.0,19.193,0.0
230,4940.637277559063,56.27137266259306,0.722326846620632,0.2753714166143545,0.0002092487968194183,0,18.738024098178816,0.8618121183133064,0.7670853942692594,4779,22,16.354581301177152,2.0696580324501173,2.055040556199305,4.0,11.924,0.0
231,6142.908928798825,56.30007838070495,0.820774898977894,0.17684811029236985,0.0002376990729736154,0,16.11983449619517,0.8591260974000732,0.8897597779878541,4207,19,17.64086704475164,2.190998637016493,2.189690124529395,5.0,8.404,0.0
232,6225.9404947575,59.270792528931324,0.8008743169398908,0.19562841530054645,0.001092896174863388,0,15.091811830262333,0.868355510816448,0.8528815896883973,4575,21,17.342690948259275,2.2651299756877252,2.3094978165938866,5.0,10.103,0.0
233,4643.618457984433,69.46006290276499,0.6348230353929214,0.3609778044391122,0.0016496700659868026,0,9.633958088738648,0.8553387152063526,0.698786570119136,6668,30,17.739763925667692,2.7470913118919214,2.7323411292227733,6.0,21.95,0.0
234,6052.480562635634,61.06704040833371,0.7624150010302906,0.23346383680197816,0.001442406758705955,0,14.201347305787504,0.8674536607909162,0.8619398434533094,4853,22,17.55808337694957,2.6101104797701145,2.6764864864864863,7.0,12.568,0.0
235,5462.679875990449,74.64378009546397,0.6556951061065396,0.34040710264183627,0.00129926375054136,0,14.681391765615942,0.8451581388762226,0.7194078810471264,6927,31,19.317572306040706,2.718495691769462,2.590268604139146,6.0,21.75,0.0
236,5924.3993171781985,60.36183814506643,0.7590262017742934,0.23705384774087065,0.0008252527336496802,0,14.15490084293811,0.8607664810135444,0.8437098105856574,4847,22,16.03516071664367,2.4968122865834492,2.586844251155205,6.0,12.37,0.0
237,4249.896937653416,46.020225673061375,0.7406529752501316,0.2567140600315956,0.0,0,11.646939899703971,0.8651626282376143,0.8026527827107475,3798,17,17.208173749276803,1.9965274732511693,2.356558833985069,5.0,9.848,0.0
238,6896.292926063635,76.45484503585935,0.7288819875776398,0.2669254658385093,0.0007763975155279503,0,12.14739386968094,0.8635519103931971,0.777168810615622,6440,29,17.780130202605438,2.564973858726137,2.482530890498509,5.0,17.579,0.0
239,4329.531371869065,49.01999149901483,0.7213472255875939,0.27453355948630964,0.000969227041434456,0,11.594273284297723,0.8455592910595876,0.7813567984369184,4127,19,16.058270984680426,2.070846074094939,2.349344978165939,5.0,10.864,0.0
