world,baseline,seed,reward,throughput_mbps,completion_rate,deadline_miss_rate,retx_drop_rate,mu_depth,jain,first_ack_rate,attempts_per_acked,pinned_fraction,goodput_mbps,acks_m1,acks_m2,acks_m3,acks_m4,units_m1,units_m2,units_m3,units_m4
global,SU+PF,10003,-6014.6166415713515,49.81231821238288,0.27985948477751754,0.7140515222482435,0.0,1.0,0.6545789307163566,0.9996248593222459,1.0003751406777541,0.000375,36.913712,7994,0,0,0,7997,0,0,0
global,SU+PF,10004,-7032.586952094481,61.64163628656084,0.2843753019615422,0.7093438979611557,0.0,1.0,0.7253153533765696,0.9992494370778083,1.0007505629221916,0.00075,44.331792,7988,0,0,0,7994,0,0,0
global,SU+PF,10005,3393.0103245286223,38.45250338451987,0.7336797661578435,0.26404676843130886,0.0,1.0,0.8450944706654928,0.9998749843730467,1.0001250156269534,0.000125,35.981484,7998,0,0,0,7999,0,0,0
global,SU+PF,10006,1721.2229140682753,41.29352463790256,0.5649975926817525,0.43187289359653347,0.00024073182474723158,1.0,0.6773304077833183,0.9977432296890673,1.0025084660729964,0.003,37.83673,7958,0,0,0,7976,0,0,0
global,SU+PF,10007,-198.81890309771615,49.52326682976834,0.4455160744500846,0.5521150592216582,0.0,1.0,0.7521322588397403,0.998998998998999,1.001001001001001,0.001,40.887852,7984,0,0,0,7992,0,0,0
global,SU+Random,10000,-7290.075601023259,38.519589602137124,0.23350890393779783,0.7602207173313268,0.0,1.0,0.5708372292483096,0.9929630560442322,1.0045351473922903,0.005001250312578144,27.950266,7902,0,0,0,7958,0,0,0
global,SU+Random,10001,-6568.476308192048,43.123065417170984,0.23528650886043204,0.7590221187427241,0.0001293493726555426,1.0,0.7403409950596851,0.995229726336932,1.0035197988686362,0.00425,27.160068,7928,0,0,0,7966,0,0,0
global,SU+Random,10002,-4044.967882135434,40.510721923321086,0.2772565512779036,0.7172436104820447,0.0,1.0,0.7846511578961614,0.9982475904368506,1.0013774104683195,0.001375,25.308408,7975,0,0,0,7989,0,0,0
global,SU+Random,10003,-9154.83207314387,39.626697769351836,0.18442622950819673,0.8087822014051522,0.0,1.0,0.6838816447267471,0.9967410378540987,1.0027596588058203,0.00275,23.470164,7952,0,0,0,7978,0,0,0
global,SU+Random,10004,-10409.897362329653,50.512634221255574,0.2000193255386994,0.7936032466905015,0.0,1.0,0.7616613047421658,0.9974946761868971,1.0021308598646277,0.002125,30.415166,7963,0,0,0,7983,0,0,0
global,SU+Random,10005,1957.0121089430775,34.42702194548562,0.5998700876908087,0.3959077622604742,0.0,1.0,0.8461535233245017,0.9993746873436719,1.0003752814610958,0.00037504688086010754,28.76905,7991,0,0,0,7996,0,0,0
global,SU+Random,10006,-390.2139745033974,34.17236322927759,0.42729898892633605,0.568608570052961,0.0,1.0,0.6715065854190738,0.9943467336683417,1.004153555695406,0.005,28.26621,7915,0,0,0,7960,0,0,0
global,SU+Random,10007,-2961.521498471193,40.36058743728925,0.3206429780033841,0.6749576988155669,0.0,1.0,0.7701192089610328,0.9958589534445978,1.0033906819038052,0.003875,28.408502,7936,0,0,0,7969,0,0,0
