seed,sched,reward,throughput_mbps,goodput_mbps,mean_sinr_db,completion_rate,deadline_miss_rate,retx_drop_rate,mu_depth,jain
10016,SU+CQI,5575.8402,77.7649,75.235,29.2558,0.6643,0.3328,0.0001,1.0,0.7232
10016,SU+DPF,3823.0005,72.2806,65.305,29.2519,0.5814,0.4144,0.0,1.0,0.7946
10016,SU+PF,3680.3039,73.3497,65.557,29.2362,0.5853,0.411,0.0,1.0,0.7936
10016,SU+Rnd,-798.6718,57.5814,46.0541,28.2479,0.4192,0.5763,0.0,1.0,0.808
10016,SUS+CQI,7296.375,85.8165,80.8392,9.7806,0.7163,0.2808,0.0,3.9906,0.8051
10016,SUS+DPF,5952.6452,82.2746,74.1146,9.961,0.6601,0.3364,0.0001,3.9995,0.8263
10016,SUS+PF,5868.5091,82.3496,73.9188,9.8992,0.6587,0.3378,0.0001,3.9989,0.8261
10016,SUS+Rnd,4488.3133,77.3865,67.9953,9.9794,0.6068,0.389,0.0,3.9999,0.7883
10017,PPO,6193.4313,72.4039,69.9501,10.3011,0.7144,0.283,0.0,3.1644,0.7911
10017,SU+CQI,4696.2664,67.5928,64.6779,28.4458,0.655,0.3424,0.0,1.0,0.7393
10017,SU+DPF,3645.7174,64.0273,58.4827,28.4313,0.5971,0.3992,0.0,1.0,0.7965
10017,SU+PF,3504.6748,64.8723,58.5235,28.4704,0.5974,0.3995,0.0,1.0,0.7982
10017,SU+Rnd,-102.0316,52.5322,42.432,27.6802,0.4402,0.5554,0.0,1.0,0.8089
10017,SUS+CQI,5252.6884,71.5707,65.4982,8.0004,0.6663,0.3306,0.0,3.9737,0.8044
10017,SUS+DPF,4160.7793,68.4819,60.0332,8.0865,0.6144,0.3822,0.0,3.9889,0.8229
10017,SUS+PF,4147.3001,68.6694,60.1816,8.0928,0.6157,0.3809,0.0,3.9882,0.8228
10017,SUS+Rnd,3051.7945,65.0755,55.4199,8.2397,0.5688,0.4275,0.0,3.996,0.7883
10018,PPO,4011.4149,88.0997,85.4758,12.4861,0.5797,0.4171,0.0,3.0818,0.6215
10018,SU+CQI,1058.4023,76.6031,74.6151,26.6579,0.5047,0.492,0.0,1.0,0.552
10018,SU+DPF,-3527.5061,61.007,51.0103,26.5836,0.3518,0.6425,0.0,1.0,0.6755
10018,SU+PF,-3752.9038,63.3225,51.4134,26.6081,0.358,0.6369,0.0,1.0,0.6712
10018,SU+Rnd,-8253.7384,47.5075,32.9892,24.8932,0.2336,0.7607,0.0,1.0,0.6963
10018,SUS+CQI,3553.6166,88.5296,83.1453,11.1939,0.5625,0.4344,0.0,3.9993,0.6374
