world,baseline,seed,reward,throughput_mbps,completion_rate,deadline_miss_rate,retx_drop_rate,mu_depth,jain,first_ack_rate,attempts_per_acked,pinned_fraction,goodput_mbps,acks_m1,acks_m2,acks_m3,acks_m4,units_m1,units_m2,units_m3,units_m4
betam,SU+CQI,10000,2667.383381395703,72.76600811166712,0.5578128918986707,0.43880110358665664,0.0,1.0,0.5798363017582845,0.9438822447102115,1.051560021152829,0.048875,70.968184,7182,0,0,0,7609,0,0,0
betam,SU+CQI,10001,4137.092639484809,76.6254130217267,0.605225714655284,0.39166990040098304,0.0,1.0,0.6503716341494897,0.97201540436457,1.0264883631220265,0.02625,74.519054,7572,0,0,0,7790,0,0,0
betam,SU+CQI,10002,4742.66951704682,67.1301917466326,0.6601423487544484,0.3371077321255257,0.0,1.0,0.7329767693694799,0.9564934219096001,1.0421505937622342,0.040375,64.856918,7343,0,0,0,7677,0,0,0
betam,SU+CQI,10003,1871.9679900613405,74.5058112304477,0.5269320843091335,0.46814988290398124,0.000117096018735363,1.0,0.5921170626313513,0.9541368078175896,1.0419992149679445,0.040625,71.71094,7323,0,0,0,7675,0,0,0
betam,SU+CQI,10004,2115.6252950905678,89.20954070823194,0.525558024929945,0.47057686733017684,0.0,1.0,0.6010611567389141,0.9669890393294649,1.0315164040299665,0.030625,86.23313,7499,0,0,0,7755,0,0,0
betam,SU+CQI,10005,4546.683297595863,42.185860528000795,0.8311139980513154,0.1679116596297499,0.0,1.0,0.8888132737652464,0.9242119382964453,1.071678792778227,0.06660823838737949,40.759962,6890,0,0,0,7455,0,0,0
betam,SU+CQI,10006,3444.0922694817023,46.933524014486096,0.6716417910447762,0.3261916225324988,0.0,1.0,0.7527877363937403,0.951168559864212,1.04472131147541,0.042625,44.897484,7285,0,0,0,7659,0,0,0
betam,SU+CQI,10007,5044.196493190343,65.68769382821819,0.6825719120135364,0.316243654822335,0.0,1.0,0.7436580608538463,0.9414093428345209,1.055864442679375,0.05275,63.869734,7134,0,0,0,7578,0,0,0
betam,SU+Deadline-PF,10000,-477.29006381416224,60.825153243660004,0.44682718836217705,0.5479056935038876,0.0,1.0,0.5803016147780512,0.9389647180015452,1.0309758043073651,0.02925,56.633122,7292,0,0,0,7766,0,0,0
betam,SU+Deadline-PF,10001,1135.345589883342,65.06141864463243,0.47794593196223,0.5159746475229595,0.0,1.0,0.7520382253283974,0.9526785714285714,1.020718594282717,0.02,58.31303,7469,0,0,0,7840,0,0,0
betam,SU+Deadline-PF,10002,2937.502348594351,61.54521902788415,0.5619540601747007,0.43384018117114204,0.0,1.0,0.8002705719725858,0.9511316872427984,1.0293963254593177,0.028,54.597448,7396,0,0,0,7776,0,0,0
betam,SU+Deadline-PF,10003,-1462.8322275416754,62.441700975136676,0.40327868852459015,0.5901639344262295,0.0,1.0,0.6821382670073354,0.945617402431222,1.0244224422442245,0.023125,54.26799,7390,0,0,0,7815,0,0,0
