seed,sched,reward,throughput_mbps,mean_sinr_db,completion_rate,deadline_miss_rate,retx_drop_rate,mu_depth,jain
10017,SU+CQI,8335.7214,71.0195,28.4358,0.888,0.111,0.0,1.0,0.7411
10017,SU+DPF,8164.6899,66.9833,28.2631,0.9143,0.0848,0.0,1.0,0.7836
10017,SU+PF,7797.2854,67.7298,28.2558,0.8781,0.1208,0.0,1.0,0.7856
10017,SU+Rnd,5854.6342,53.4605,27.0352,0.8434,0.1547,0.0,1.0,0.8408
10018,PPO,9975.7481,88.6063,17.9822,0.8495,0.1488,0.0,2.8682,0.682
10018,SUS+CQI,9198.6235,83.846,14.4684,0.8261,0.1521,0.0197,3.9983,0.7007
10018,SUS+DPF,7533.6523,73.5151,14.3303,0.7801,0.1719,0.0458,3.9998,0.6756
10018,SUS+PF,7411.9227,75.1593,14.4463,0.7667,0.1838,0.0466,3.9997,0.6818
10018,SUS+Rnd,5694.2954,63.6033,13.8959,0.7157,0.2297,0.0517,3.9999,0.6781
10018,SU+CQI,7986.6499,83.0676,27.2179,0.7684,0.2298,0.0,1.0,0.5298
10018,SU+DPF,6156.3225,63.7402,26.8555,0.7582,0.2389,0.0,1.0,0.6538
10018,SU+PF,5173.9278,66.0548,26.8342,0.6887,0.3089,0.0,1.0,0.6481
10018,SU+Rnd,2616.8177,49.3305,24.2783,0.5841,0.412,0.0,1.0,0.722
10019,PPO,13091.8776,111.3351,22.9923,0.8831,0.115,0.0001,2.8425,0.7173
10019,SUS+CQI,12066.7578,104.6222,19.3281,0.8601,0.1099,0.0282,3.9997,0.716
10019,SUS+DPF,10291.0481,93.3668,19.6831,0.8221,0.1441,0.032,3.9994,0.6781
10019,SUS+PF,10201.4827,95.6892,19.5236,0.8093,0.1537,0.0347,3.9994,0.6879
10019,SUS+Rnd,7850.0194,78.9993,18.7447,0.7622,0.1898,0.045,3.9996,0.7061
10019,SU+CQI,9088.7372,93.4793,32.2857,0.7749,0.2233,0.0,1.0,0.5448
10019,SU+DPF,7702.7565,74.7991,32.0787,0.789,0.2081,0.0,1.0,0.6525
10019,SU+PF,6523.94,78.18,32.2168,0.7107,0.2869,0.0,1.0,0.6353
10019,SU+Rnd,3427.8098,57.435,29.108,0.608,0.3879,0.0,1.0,0.7607
