config,sched,seed,reward,throughput_mbps,goodput_mbps,completion_rate,deadline_miss_rate,mu_depth
STORM,SUS+CQI@0.65,30003,-3100.3,81.06,74.93,0.4062,0.5897,4.0
STORM,SUS+CQI@0.65,30004,1941.7,86.73,81.18,0.5137,0.4818,3.996
STORM,SUS+CQI@0.65,30005,1140.4,109.76,102.81,0.488,0.5075,3.989
STORM,SUS+CQI@0.65,30006,-1237.9,117.81,109.78,0.4496,0.5458,4.0
STORM,SUS+CQI@0.65,30007,4977.4,101.93,98.11,0.589,0.4076,3.939
STORM,SUS+CQI@0.70,30000,3575.8,113.66,110.34,0.5439,0.4525,3.994
STORM,SUS+CQI@0.70,30001,2071.9,91.1,85.77,0.5193,0.4765,3.985
STORM,SUS+CQI@0.70,30002,-4258.6,124.09,115.01,0.4116,0.5841,4.0
STORM,SUS+CQI@0.70,30003,-3110.5,81.18,74.84,0.4056,0.5903,4.0
STORM,SUS+CQI@0.70,30004,2039.3,87.06,81.65,0.5167,0.4788,3.988
STORM,SUS+CQI@0.70,30005,1109.1,109.72,102.67,0.4873,0.508,3.982
